Id,Camera,Angle,Width,Height,Facing
1,F,39,220,200,F
2,X,217,70,77,X
3,L,247,62,97,X
4,R,46,137,107,F
5,F,29,109,117,F
6,F,26,121,119,F
7,L,240,29,42,X
8,F,24,114,123,F
9,R,51,261,219,F
10,L,230,124,124,X
11,L,227,157,103,X
12,R,62,98,101,F
13,F,38,195,162,F
14,R,61,154,191,F
15,F,14,53,55,F
16,X,227,87,74,X
17,L,239,115,124,X
18,F,14,89,94,F
19,X,235,51,38,X
20,F,311,51,30,F
21,L,247,84,89,X
22,F,21,90,100,F
23,R,51,211,176,F
24,F,19,76,73,F
25,F,25,90,109,F
26,X,216,31,56,X
27,R,48,143,122,F
28,F,19,170,170,F
29,L,250,84,106,X
30,L,228,155,112,X
31,R,43,179,174,F
32,F,55,102,100,F
33,L,257,79,144,X
34,X,224,118,110,X
35,X,228,80,71,R
36,F,21,90,105,F
37,R,72,156,200,F
38,X,215,118,112,X
39,X,222,89,77,X
40,R,46,149,112,F
41,X,195,32,34,X
42,F,21,129,130,F
43,R,62,271,318,F
44,F,25,75,83,F
45,L,226,172,134,X
46,R,71,91,141,F
47,R,61,124,126,F
48,L,243,82,114,X
49,F,20,136,135,F
50,L,243,56,79,X
51,F,322,118,116,F
52,R,49,87,93,F
53,L,247,50,82,X
54,L,239,129,104,X
55,R,68,56,120,F
56,R,54,112,109,F
57,X,244,68,54,X
58,R,108,33,31,X
59,F,28,154,162,F
60,F,39,197,216,F
61,X,212,82,96,X
62,F,27,110,109,F
63,R,54,125,127,F
64,R,67,61,87,F
65,L,263,43,67,X
66,R,57,99,108,F
67,F,23,161,142,F
68,F,22,149,161,F
69,L,235,87,90,X
70,R,67,115,169,F
71,F,23,83,86,F
72,F,14,57,73,F
73,F,13,67,69,F
74,F,33,201,189,F
75,L,240,77,90,X
76,L,253,51,101,X
77,L,259,83,183,X
78,L,230,85,96,X
79,R,51,171,144,F
80,L,224,50,31,X
81,R,67,181,228,F
82,F,26,136,113,F
83,L,255,38,72,F
84,X,217,92,84,X
85,F,44,186,184,F
86,L,248,32,43,X
87,F,21,52,60,F
88,X,212,55,69,X
89,L,253,98,129,X
90,X,214,54,53,X
91,F,8,48,51,F
92,X,216,118,120,X
93,L,265,103,115,L
94,L,244,86,94,X
95,X,216,83,90,X
96,F,15,67,72,F
97,F,61,217,276,F
98,X,228,127,139,X
99,L,243,101,123,X
100,X,218,106,93,X
101,F,31,133,138,F
102,L,242,74,86,X
103,F,31,240,216,F
104,F,24,148,145,F
105,X,226,118,99,X
106,R,87,46,149,F
107,F,33,217,208,F
108,L,247,91,140,X
109,X,212,54,59,X
110,X,217,47,38,X
111,L,238,41,46,X
112,F,23,72,76,F
113,L,227,111,96,X
114,L,261,28,76,F
115,F,24,92,82,F
116,R,49,298,261,F
117,F,27,102,111,F
118,X,200,47,58,X
119,F,28,114,118,F
120,X,204,41,30,X
121,F,21,81,85,F
122,X,199,53,54,X
123,F,20,69,71,F
124,R,45,281,263,F
125,X,203,64,59,X
126,F,19,61,67,F
127,L,242,57,56,X
