Id,Facing
30001,X
30002,F
30003,F
30004,F
30005,F
30006,X
30007,F
30008,F
30009,F
30010,F
30011,F
30012,F
30013,F
30014,X
30015,X
30016,F
30017,X
30018,X
30019,F
30020,X
30021,X
30022,X
30023,X
30024,L
30025,F
30026,X
30027,F
30028,F
30029,F
30030,X
30031,F
30032,L
30033,F
30034,F
30035,F
30036,X
30037,F
30038,X
30039,F
30040,X
30041,X
30042,X
30043,F
30044,X
30045,F
30046,X
30047,X
30048,F
30049,X
30050,F
30051,X
30052,F
30053,F
30054,F
30055,X
30056,X
30057,X
30058,X
30059,X
30060,F
30061,F
30062,X
30063,F
30064,F
30065,X
30066,F
30067,X
30068,X
30069,X
30070,X
30071,X
30072,X
30073,X
30074,X
30075,F
30076,F
30077,X
30078,X
30079,F
30080,X
30081,X
30082,F
30083,F
30084,F
30085,F
30086,R
30087,X
30088,X
30089,X
30090,X
30091,X
30092,F
30093,X
30094,X
30095,F
30096,F
30097,F
30098,X
30099,X
30100,X
30101,F
30102,F
30103,F
30104,F
30105,X
30106,F
30107,F
30108,X
30109,X
30110,X
30111,F
30112,F
30113,F
30114,F
30115,X
30116,F
30117,X
30118,F
30119,X
30120,X
30121,F
30122,F
30123,X
30124,F
30125,X
30126,X
30127,X
30128,F
30129,F
30130,F
30131,F
30132,F
30133,F
30134,X
30135,X
30136,X
30137,X
30138,F
30139,F
30140,F
30141,X
30142,X
30143,F
30144,X
30145,F
30146,X
30147,F
30148,X
30149,X
30150,X
30151,F
30152,F
30153,F
30154,F
30155,R
30156,F
30157,X
30158,X
30159,F
30160,X
30161,X
30162,F
30163,F
30164,F
30165,X
30166,X
30167,X
30168,F
30169,F
30170,X
30171,F
30172,X
30173,F
30174,X
30175,X
30176,F
30177,F
30178,F
30179,F
30180,X
30181,X
30182,F
30183,F
30184,L
30185,X
30186,F
30187,X
30188,F
30189,X
30190,X
30191,F
30192,F
30193,X
30194,X
30195,X
30196,X
30197,X
30198,F
30199,F
30200,X
30201,X
30202,F
30203,X
30204,X
30205,X
30206,F
30207,L
30208,F
30209,X
30210,X
30211,X
30212,X
30213,X
30214,F
30215,X
30216,F
30217,X
30218,X
30219,X
30220,F
30221,X
30222,F
30223,X
30224,F
30225,X
30226,F
30227,F
30228,X
30229,F
30230,F
30231,F
30232,F
30233,X
30234,F
30235,F
30236,F
30237,L
30238,F
30239,X
30240,X
30241,F
30242,F
30243,F
30244,X
30245,F
30246,X
30247,F
30248,X
30249,L
30250,X
30251,X
30252,X
30253,F
30254,X
30255,X
30256,X
30257,F
30258,X
30259,X
30260,F
30261,F
30262,F
30263,X
30264,X
30265,X
30266,F
30267,F
30268,X
30269,F
30270,F
30271,X
30272,X
30273,F
30274,X
30275,X
30276,X
30277,F
30278,F
30279,F
30280,F
30281,X
30282,X
30283,F
30284,F
30285,F
30286,F
30287,F
30288,F
30289,R
30290,F
30291,X
30292,X
30293,F
30294,F
30295,F
30296,F
30297,F
30298,F
30299,F
30300,X
30301,F
30302,F
30303,F
30304,F
30305,F
30306,F
30307,F
30308,F
30309,X
30310,F
30311,F
30312,F
30313,X
30314,F
30315,F
30316,F
30317,F
30318,F
30319,X
30320,X
30321,X
30322,F
30323,F
30324,F
30325,X
30326,F
30327,X
30328,X
30329,F
30330,F
30331,F
30332,X
30333,X
30334,X
30335,X
30336,F
30337,F
30338,F
30339,F
30340,X
30341,X
30342,R
30343,F
30344,F
30345,F
30346,X
30347,F
30348,F
30349,F
30350,F
30351,X
30352,X
30353,F
30354,F
30355,X
30356,F
30357,F
30358,X
30359,F
30360,F
30361,F
30362,F
30363,F
30364,F
30365,X
30366,X
30367,F
30368,X
30369,F
30370,F
30371,X
30372,F
30373,X
30374,F
30375,F
30376,F
30377,F
30378,X
30379,F
30380,L
30381,F
30382,X
30383,F
30384,X
30385,X
30386,X
30387,F
30388,F
30389,X
30390,F
30391,F
30392,F
30393,X
30394,F
30395,F
30396,F
30397,F
30398,F
30399,F
30400,F
30401,F
30402,F
30403,X
30404,F
30405,X
30406,X
30407,F
30408,F
30409,F
30410,X
30411,R
30412,X
30413,F
30414,F
30415,X
30416,F
30417,F
30418,F
30419,X
30420,F
30421,X
30422,F
30423,F
30424,F
30425,X
30426,X
30427,F
30428,F
30429,X
30430,X
30431,X
30432,F
30433,X
30434,F
30435,X
30436,X
30437,F
30438,F
30439,F
30440,F
30441,X
30442,X
30443,F
30444,X
30445,F
30446,X
30447,F
30448,F
30449,X
30450,X
30451,F
30452,X
30453,F
30454,X
30455,X
30456,X
30457,F
30458,X
30459,X
30460,F
30461,X
30462,F
30463,X
30464,F
30465,X
30466,F
30467,X
30468,X
30469,X
30470,F
30471,X
30472,F
30473,F
30474,X
30475,X
30476,F
30477,F
30478,X
30479,F
30480,X
30481,X
30482,F
30483,X
30484,X
30485,X
30486,X
30487,F
30488,F
30489,F
30490,R
30491,F
30492,F
30493,F
30494,F
30495,F
30496,X
30497,F
30498,R
30499,F
30500,F
30501,F
30502,F
30503,F
30504,F
30505,F
30506,X
30507,F
30508,F
30509,X
30510,X
30511,X
30512,F
30513,X
30514,X
30515,F
30516,X
30517,X
30518,F
30519,X
30520,F
30521,F
30522,F
30523,X
30524,F
30525,F
30526,F
30527,F
30528,X
30529,F
30530,F
30531,X
30532,F
30533,F
30534,F
30535,X
30536,F
30537,X
30538,X
